id,traceId,projectId,type,environment,parentObservationId,startTime,endTime,name,metadata,level,statusMessage,version,input,output,modelParameters,completionStartTime,promptId,createdAt,updatedAt,usageDetails,costDetails,providedCostDetails,model,internalModelId,promptName,promptVersion,latency,timeToFirstToken,inputCost,outputCost,totalCost,inputUsage,outputUsage,totalUsage,traceName,traceTags,traceTimestamp,userId,modelId,inputPrice,outputPrice,totalPrice,parsed_metadata,model,endpoint_id,project_number,latency_seconds,input_tokens,output_tokens,total_tokens,article_word_count,timestamp
0b19ce737191d7c3,18725697857c71004b644696bc9bdd5e,cmh270g6p000mad07qlm3ynvv,SPAN,production,,2025-10-27T11:46:53.034Z,2025-10-27T11:46:53.034Z,init Step run,"{""attributes"":{},""resourceAttributes"":{""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.37.0"",""host.name"":""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f"",""service.name"":""chainlit"",""deployment.environment"":""production""},""scope"":{""name"":""chainlit"",""version"":""1.3.1"",""attributes"":{}}}",DEFAULT,,,,,,,,2025-10-27T11:46:53.070Z,2025-10-27T11:46:53.071Z,{},{},{},,,,,0.0,,,,0,0,0,0,init Step run,[],2025-10-27 11:46:53.034,,,,,,{},,,,,,,,,
201bcb99bfdc12ca,1872569785e27300de751acdbf0da687,cmh270g6p000mad07qlm3ynvv,SPAN,production,,2025-10-27T11:46:53.041Z,2025-10-27T11:46:53.041Z,init Message,"{""attributes"":{},""resourceAttributes"":{""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.37.0"",""host.name"":""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f"",""service.name"":""chainlit"",""deployment.environment"":""production""},""scope"":{""name"":""chainlit"",""version"":""1.3.1"",""attributes"":{}}}",DEFAULT,,,,,,,,2025-10-27T11:46:53.070Z,2025-10-27T11:46:53.071Z,{},{},{},,,,,0.0,,,,0,0,0,0,init Message,[],2025-10-27 11:46:53.041,,,,,,{},,,,,,,,,
8030bdede9812c29,187256978563a700b6c0e36e31451c28,cmh270g6p000mad07qlm3ynvv,SPAN,production,,2025-10-27T11:46:53.033Z,2025-10-27T11:46:53.033Z,init Message,"{""attributes"":{},""resourceAttributes"":{""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.37.0"",""host.name"":""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f"",""service.name"":""chainlit"",""deployment.environment"":""production""},""scope"":{""name"":""chainlit"",""version"":""1.3.1"",""attributes"":{}}}",DEFAULT,,,,,,,,2025-10-27T11:46:53.070Z,2025-10-27T11:46:53.071Z,{},{},{},,,,,0.0,,,,0,0,0,0,init Message,[],2025-10-27 11:46:53.033,,,,,,{},,,,,,,,,
f5be988e9e987ae4,1872569785e273005fbd1cfd1378da6d,cmh270g6p000mad07qlm3ynvv,SPAN,production,,2025-10-27T11:46:53.041Z,2025-10-27T11:46:53.041Z,send_message,"{""attributes"":{},""resourceAttributes"":{""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.37.0"",""host.name"":""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f"",""service.name"":""chainlit"",""deployment.environment"":""production""},""scope"":{""name"":""chainlit"",""version"":""1.3.1"",""attributes"":{}}}",DEFAULT,,,,,,,,2025-10-27T11:46:53.071Z,2025-10-27T11:46:53.071Z,{},{},{},,,,,0.0,,,,0,0,0,0,send_message,[],2025-10-27 11:46:53.041,,,,,,{},,,,,,,,,
80daeb72cb9494d6,1872569388188e0092c19eb0f9714d0a,cmh270g6p000mad07qlm3ynvv,GENERATION,production,,2025-10-27T11:46:35.898Z,2025-10-27T11:46:45.576Z,vertex_ai_summarization,"{""resourceAttributes"":{""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.37.0"",""host.name"":""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f"",""service.name"":""chainlit"",""deployment.environment"":""production""},""scope"":{""name"":""langfuse-sdk"",""version"":""3.8.1"",""attributes"":{""public_key"":""pk-lf-8e03ff3b-ef28-49e6-b226-5535cf344acf""}}}",DEFAULT,,,"{""args"":[""<|user|>\nYou are a professional journalist assistant. Summarize the following article in **no more than 5 short lines**. Each line should be a full sentence. Avoid details, examples, and numbers unless essential. Focus only on the main idea, key facts, and implications.\n\nArticle:\n🏋️ 2. Sport — Data Analytics in Football: From Intuition to Precision\n\nFootball has evolved far beyond intuition and luck. Today, data analytics shapes everything from player recruitment to match tactics.\nUsing machine learning models, analysts can predict player fatigue, identify weaknesses in rival teams, and even estimate goal probability through xG (expected goals) metrics.\n\nClubs like Liverpool FC and Manchester City have invested heavily in data teams, transforming the sport into a numbers-driven science. The next frontier? Real-time analytics, where wearable sensors and AI combine to deliver instant insights during live matches.\n\nNow write the summary:<|end|>\n<|assistant|>\n""],""kwargs"":{}}","{""output"":""Football has evolved far beyond intuition and luck. Today, data analytics shapes everything from player recruitment to match tactics. Clubs like Liverpool FC and Manchester City have invested heavily in data teams, transforming the sport into a numbers-driven science. The next frontier? Real-time analytics, where wearable sensors and AI combine to deliver instant insights during live matches."",""metadata"":{""model"":""microsoft/Phi-3-mini-4k-instruct"",""endpoint_id"":""210961096998125568"",""project_number"":""54825872111"",""latency_seconds"":9.68,""input_tokens"":225,""output_tokens"":85,""total_tokens"":310,""article_word_count"":93,""timestamp"":""2025-10-27T11:46:45.576257""}}",{},,,2025-10-27T11:46:47.998Z,2025-10-27T11:46:47.998Z,{},{},{},,,,,9678.0,,,,0,0,0,0,vertex_ai_summarization,[],2025-10-27 11:46:35.898,,,,,,"{'model': 'microsoft/Phi-3-mini-4k-instruct', 'endpoint_id': '210961096998125568', 'project_number': '54825872111', 'latency_seconds': 9.68, 'input_tokens': 225, 'output_tokens': 85, 'total_tokens': 310, 'article_word_count': 93, 'timestamp': '2025-10-27T11:46:45.576257'}",microsoft/Phi-3-mini-4k-instruct,210961096998125568,54825872111,9.68,225.0,85.0,310.0,93.0,2025-10-27T11:46:45.576257
6316f3990738e298,18725695c97fe000699a43c175fa662e,cmh270g6p000mad07qlm3ynvv,SPAN,production,,2025-10-27T11:46:45.586Z,2025-10-27T11:46:45.586Z,init Message,"{""attributes"":{},""resourceAttributes"":{""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.37.0"",""host.name"":""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f"",""service.name"":""chainlit"",""deployment.environment"":""production""},""scope"":{""name"":""chainlit"",""version"":""1.3.1"",""attributes"":{}}}",DEFAULT,,,,,,,,2025-10-27T11:46:47.998Z,2025-10-27T11:46:47.998Z,{},{},{},,,,,0.0,,,,0,0,0,0,init Message,[],2025-10-27 11:46:45.586,,,,,,{},,,,,,,,,
6d222df2da85bc38,18725695c9ac54006fad1c6060ed2190,cmh270g6p000mad07qlm3ynvv,SPAN,production,,2025-10-27T11:46:45.588Z,2025-10-27T11:46:45.588Z,update_step,"{""attributes"":{},""resourceAttributes"":{""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.37.0"",""host.name"":""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f"",""service.name"":""chainlit"",""deployment.environment"":""production""},""scope"":{""name"":""chainlit"",""version"":""1.3.1"",""attributes"":{}}}",DEFAULT,,,,,,,,2025-10-27T11:46:47.998Z,2025-10-27T11:46:47.998Z,{},{},{},,,,,0.0,,,,0,0,0,0,update_step,[],2025-10-27 11:46:45.588,,,,,,{},,,,,,,,,
f36667e517b5d286,18725695c98f5e0031167015ad7965b7,cmh270g6p000mad07qlm3ynvv,SPAN,production,,2025-10-27T11:46:45.587Z,2025-10-27T11:46:45.587Z,send_message,"{""attributes"":{},""resourceAttributes"":{""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.37.0"",""host.name"":""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f"",""service.name"":""chainlit"",""deployment.environment"":""production""},""scope"":{""name"":""chainlit"",""version"":""1.3.1"",""attributes"":{}}}",DEFAULT,,,,,,,,2025-10-27T11:46:47.998Z,2025-10-27T11:46:47.998Z,{},{},{},,,,,0.0,,,,0,0,0,0,send_message,[],2025-10-27 11:46:45.587,,,,,,{},,,,,,,,,
8e39419148661965,1872568eef606f0057ee8b15baf8298d,cmh270g6p000mad07qlm3ynvv,GENERATION,production,,2025-10-27T11:46:16.156Z,2025-10-27T11:46:27.528Z,vertex_ai_summarization,"{""resourceAttributes"":{""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.37.0"",""host.name"":""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f"",""service.name"":""chainlit"",""deployment.environment"":""production""},""scope"":{""name"":""langfuse-sdk"",""version"":""3.8.1"",""attributes"":{""public_key"":""pk-lf-8e03ff3b-ef28-49e6-b226-5535cf344acf""}}}",DEFAULT,,,"{""args"":[""<|user|>\nYou are a professional journalist assistant. Summarize the following article in **no more than 5 short lines**. Each line should be a full sentence. Avoid details, examples, and numbers unless essential. Focus only on the main idea, key facts, and implications.\n\nArticle:\n🧠 1. Tech — The Rise of Edge AI: Bringing Intelligence Closer to the Source\n\nIn the past decade, artificial intelligence has largely relied on cloud computing. However, as connected devices multiply, Edge AI is emerging as a revolutionary alternative.\nInstead of sending data to distant servers, edge devices — such as smart cameras, drones, or industrial sensors — now process data locally, drastically reducing latency and bandwidth costs.\n\nThis shift enables real-time decision-making, crucial for applications like autonomous vehicles or predictive maintenance in factories. With chipmakers like NVIDIA and Qualcomm optimizing hardware for on-device learning, Edge AI is poised to redefine efficiency and privacy in the AI ecosystem.\n\nNow write the summary:<|end|>\n<|assistant|>\n""],""kwargs"":{}}","{""output"":""Edge AI brings intelligence closer to the source, processing data on local devices instead of relying on cloud computing. This reduces latency and bandwidth costs, enabling real-time decision-making for applications like autonomous vehicles or predictive maintenance in factories. With companies like NVIDIA and Qualcomm optimizing hardware for on-device learning, Edge AI is set to transform efficiency and privacy in the AI ecosystem."",""metadata"":{""model"":""microsoft/Phi-3-mini-4k-instruct"",""endpoint_id"":""210961096998125568"",""project_number"":""54825872111"",""latency_seconds"":11.37,""input_tokens"":252,""output_tokens"":91,""total_tokens"":343,""article_word_count"":109,""timestamp"":""2025-10-27T11:46:27.528211""}}",{},,,2025-10-27T11:46:27.804Z,2025-10-27T11:46:27.804Z,{},{},{},,,,,11372.0,,,,0,0,0,0,vertex_ai_summarization,[],2025-10-27 11:46:16.156,,,,,,"{'model': 'microsoft/Phi-3-mini-4k-instruct', 'endpoint_id': '210961096998125568', 'project_number': '54825872111', 'latency_seconds': 11.37, 'input_tokens': 252, 'output_tokens': 91, 'total_tokens': 343, 'article_word_count': 109, 'timestamp': '2025-10-27T11:46:27.528211'}",microsoft/Phi-3-mini-4k-instruct,210961096998125568,54825872111,11.37,252.0,91.0,343.0,109.0,2025-10-27T11:46:27.528211
e86016f5ed8664ac,18725684fb28d300a9dfd1c15895e27f,cmh270g6p000mad07qlm3ynvv,GENERATION,production,,2025-10-27T11:45:33.404Z,2025-10-27T11:45:38.774Z,vertex_ai_summarization,"{""resourceAttributes"":{""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.37.0"",""host.name"":""cf0843fa0ca397dc42f23a59195d05d0987f244a6ff62d8a19b3a356b4d5d60f"",""service.name"":""chainlit"",""deployment.environment"":""production""},""scope"":{""name"":""langfuse-sdk"",""version"":""3.8.1"",""attributes"":{""public_key"":""pk-lf-8e03ff3b-ef28-49e6-b226-5535cf344acf""}}}",DEFAULT,,,"{""args"":[""<|user|>\nYou are a professional journalist assistant. Summarize the following article in **no more than 5 short lines**. Each line should be a full sentence. Avoid details, examples, and numbers unless essential. Focus only on the main idea, key facts, and implications.\n\nArticle:\n🧠 1. Tech — The Rise of Edge AI: Bringing Intelligence Closer to the Source\n\nIn the past decade, artificial intelligence has largely relied on cloud computing. However, as connected devices multiply, Edge AI is emerging as a revolutionary alternative.\nInstead of sending data to distant servers, edge devices — such as smart cameras, drones, or industrial sensors — now process data locally, drastically reducing latency and bandwidth costs.\n\nThis shift enables real-time decision-making, crucial for applications like autonomous vehicles or predictive maintenance in factories. With chipmakers like NVIDIA and Qualcomm optimizing hardware for on-device learning, Edge AI is poised to redefine efficiency and privacy in the AI ecosystem.\n\nNow write the summary:<|end|>\n<|assistant|>\n""],""kwargs"":{}}","{""output"":""❌ API error: {'code': 404, 'message': 'Endpoint `projects/54825872111/locations/europe-west2/endpoints/5078226394278789120` not found.', 'status': 'NOT_FOUND'}"",""metadata"":{""model"":""microsoft/Phi-3-mini-4k-instruct"",""endpoint_id"":""5078226394278789120"",""project_number"":""54825872111"",""latency_seconds"":5.37,""input_tokens"":252,""output_tokens"":80,""total_tokens"":332,""article_word_count"":109,""timestamp"":""2025-10-27T11:45:38.774082""}}",{},,,2025-10-27T11:45:43.028Z,2025-10-27T11:45:43.028Z,{},{},{},,,,,5370.0,,,,0,0,0,0,vertex_ai_summarization,[],2025-10-27 11:45:33.404,,,,,,"{'model': 'microsoft/Phi-3-mini-4k-instruct', 'endpoint_id': '5078226394278789120', 'project_number': '54825872111', 'latency_seconds': 5.37, 'input_tokens': 252, 'output_tokens': 80, 'total_tokens': 332, 'article_word_count': 109, 'timestamp': '2025-10-27T11:45:38.774082'}",microsoft/Phi-3-mini-4k-instruct,5078226394278789120,54825872111,5.37,252.0,80.0,332.0,109.0,2025-10-27T11:45:38.774082
